
Analyzing odd numbers 1 to 65535 (k=16):

Decimal  Binary             Win After  Max Bits   Head Grow  Extra Zeros  End Dec  End Bin           
619      0000001001101011   2          10         0          1            697      0000001010111001  
621      0000001001101101   1          10         0          2            233      0000000011101001  
623      0000001001101111   4          12         2          1            1579     0000011000101011  
625      0000001001110001   1          10         0          1            469      0000000111010101  
627      0000001001110011   2          10         0          2            353      0000000101100001  
629      0000001001110101   1          10         0          4            59       0000000000111011  
631      0000001001110111   3          11         1          2            533      0000001000010101  
633      0000001001111001   1          10         0          1            475      0000000111011011  
635      0000001001111011   2          10         0          1            715      0000001011001011  
637      0000001001111101   1          10         0          2            239      0000000011101111  
639      0000001001111111   7          13         3          1            5467     0001010101011011  
641      0000001010000001   1          10         0          1            481      0000000111100001  
643      0000001010000011   2          10         0          3            181      0000000010110101  
645      0000001010000101   1          10         0          3            121      0000000001111001  
647      0000001010000111   3          11         1          1            1093     0000010001000101  
649      0000001010001001   1          10         0          1            487      0000000111100111  
651      0000001010001011   2          10         0          1            733      0000001011011101  
653      0000001010001101   1          10         0          2            245      0000000011110101  
655      0000001010001111   4          12         2          3            415      0000000110011111  
657      0000001010010001   1          10         0          1            493      0000000111101101  
659      0000001010010011   2          10         0          2            371      0000000101110011  
661      0000001010010101   1          10         0          5            31       0000000000011111  
663      0000001010010111   3          11         1          6            35       0000000000100011  
665      0000001010011001   1          10         0          1            499      0000000111110011  
667      0000001010011011   2          10         0          1            751      0000001011101111  
669      0000001010011101   1          10         0          2            251      0000000011111011  
671      0000001010011111   5          12         2          1            2551     0000100111110111  
673      0000001010100001   1          10         0          1            505      0000000111111001  
675      0000001010100011   2          10         0          4            95       0000000001011111  
677      0000001010100101   1          10         0          3            127      0000000001111111  
679      0000001010100111   3          11         1          1            1147     0000010001111011  
681      0000001010101001   1          10         0          1            511      0000000111111111  
683      0000001010101011   2          11         1          1            769      0000001100000001  
685      0000001010101101   1          10         0          2            257      0000000100000001  
687      0000001010101111   4          12         2          1            1741     0000011011001101  
689      0000001010110001   1          10         0          1            517      0000001000000101  
691      0000001010110011   2          11         1          2            389      0000000110000101  
693      0000001010110101   1          10         0          4            65       0000000001000001  
695      0000001010110111   3          11         1          2            587      0000001001001011  
697      0000001010111001   1          10         0          1            523      0000001000001011  
699      0000001010111011   2          11         1          1            787      0000001100010011  
701      0000001010111101   1          10         0          2            263      0000000100000111  
703      0000001010111111   6          13         3          1            4009     0000111110101001  
705      0000001011000001   1          10         0          1            529      0000001000010001  
707      0000001011000011   2          11         1          3            199      0000000011000111  
709      0000001011000101   1          10         0          3            133      0000000010000101  
711      0000001011000111   3          11         1          1            1201     0000010010110001  
713      0000001011001001   1          10         0          1            535      0000001000010111  
715      0000001011001011   2          11         1          1            805      0000001100100101  
717      0000001011001101   1          10         0          2            269      0000000100001101  
719      0000001011001111   4          12         2          2            911      0000001110001111  
721      0000001011010001   1          10         0          1            541      0000001000011101  
723      0000001011010011   2          11         1          2            407      0000000110010111  
725      0000001011010101   1          10         0          6            17       0000000000010001  
727      0000001011010111   3          11         1          3            307      0000000100110011  
729      0000001011011001   1          10         0          1            547      0000001000100011  
731      0000001011011011   2          11         1          1            823      0000001100110111  
733      0000001011011101   1          10         0          2            275      0000000100010011  
735      0000001011011111   5          12         2          2            1397     0000010101110101  
737      0000001011100001   1          10         0          1            553      0000001000101001  
739      0000001011100011   2          11         1          7            13       0000000000001101  
